,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
87,-2452.0,0,0.0,1.0,-2.0,0.33,4.33,-6.67,-7.67
88,-7195.0,0,2.0,-1.0,-3.67,-4.25,-4.0,-9.8,-7.67
89,-1032.0,1,-1.0,0.0,1.0,-4.0,0.5,-1.0,-3.83
90,4032.0,1,-1.0,0.0,-1.0,2.83,2.83,9.25,4.5
91,-8347.0,0,1.0,1.0,-2.0,-8.57,-2.25,1.0,1.0
92,8733.0,1,-2.0,-2.0,2.0,5.5,5.0,2.83,2.0
93,-6735.0,0,0.0,0.0,-3.75,-7.0,-4.0,-4.33,-5.0
94,-1505.0,1,1.0,0.0,0.0,-1.5,-1.0,-2.33,-3.0
95,-2810.0,0,1.0,0.0,2.67,0.5,-3.67,-3.75,-5.33
96,-8045.0,0,2.0,2.0,-1.0,-11.67,-5.75,-6.67,-13.6
97,2592.0,1,-1.0,0.0,6.0,12.4,3.2,-0.08,-0.6699999999999999
98,8085.0,1,-1.0,-1.0,1.33,4.0,-0.3299999999999999,6.6,10.33
99,-2740.0,0,1.0,1.0,1.67,-2.0,1.0,-6.6,-6.67
100,11486.0,1,-1.0,-2.0,7.0,7.0,4.75,3.0,3.0
101,-1684.0,0,-2.0,-1.0,0.0,2.0,-2.67,2.33,1.75
102,-8841.0,0,2.0,1.0,-2.17,-5.0,-2.17,-5.67,-2.0
103,3242.0,1,1.0,-1.0,2.0,3.0,-2.67,-4.0,-4.0
104,-6435.0,0,0.0,1.0,0.6699999999999999,-1.0,-1.25,-3.0,-2.5
105,-1963.0,1,-2.0,0.0,-3.33,-3.25,3.0,-5.4,2.25
106,-72.0,1,0.0,0.0,3.0,8.0,0.0,4.0,5.6
107,-5864.0,0,1.0,1.0,-0.4,-0.25,-1.5,-1.9,-4.0
108,-5392.0,0,0.0,1.0,0.0,-0.27,-5.75,-4.0,-1.0
109,-4233.0,0,1.0,0.0,1.0,-1.33,-1.5,-0.3399999999999998,-0.8300000000000001
110,-9030.0,0,1.0,0.0,-3.5,-1.0,-7.0,-4.0,-7.25
111,1079.0,1,-2.0,0.0,3.75,-2.0,0.0,0.0,-0.6699999999999999
112,-3198.0,0,1.0,0.0,0.0,0.0,-2.0,0.0,-0.6699999999999999
113,1428.0,1,1.0,0.0,0.0,-1.25,-2.0,8.4,6.67
114,4538.0,1,0.0,0.0,2.1,5.5,5.67,-0.27,-3.0
115,-3154.0,0,2.0,0.0,-0.5,-6.0,0.6699999999999999,-9.86,-10.67
116,-2493.0,1,-2.0,0.0,0.0,-0.8300000000000001,-2.0,0.33,-1.0
117,-2152.0,0,0.0,0.0,3.0,1.5,0.08,-5.67,-4.0
118,-1919.0,0,0.0,0.0,-2.0,1.0,0.0,4.33,0.33
119,41.0,0,-1.0,1.0,-5.67,0.0,-1.0,1.0,6.4
120,-5878.0,0,2.0,1.0,-2.8,-2.79,4.33,-4.33,-8.0
121,738.0,0,0.0,-1.0,-0.17,1.0,5.33,-4.0,-3.0
122,12243.0,1,-2.0,-5.0,9.25,1.33,4.25,4.0,5.75
123,-391.0,0,0.0,0.0,4.75,6.5,1.75,-3.4,-3.5
124,7786.0,1,-1.0,-1.0,-0.25,3.76,6.0,8.6,10.0
125,8844.0,1,0.0,-1.0,5.0,4.9,7.25,5.75,6.75
126,-896.0,0,1.0,0.0,0.0,3.5,0.33,-5.75,-6.25
127,1463.0,0,0.0,-1.0,-3.67,-2.33,-1.9,2.0,1.0
128,-5828.0,0,1.0,1.0,-0.5,-10.6,-4.8,1.0,-4.0
129,-1641.0,1,2.0,-1.0,3.5,-5.0,-5.0,-3.5,-0.83
130,-4353.0,0,0.0,0.0,-2.0,-2.0,-1.0,-2.17,-5.67
